Student Name,Phone no,Email Id,Country Intrested (advisor)
Kevin,1874709682,kevin@gmail.com,UK
Beula,1261391525,beula@gmail.com,USA
Reena,94545346323,reena@gmail.com,USA
Reema,65465454543,reema@gmail.com,Canada
Richi,76465345634,richi@gmail.com,USA
Subhash,9738463274,subash@gmail.com,Australia
Dinakar,9543543255,Dinakar@gmail.com,USA
Jagdeesh,96576645534,jagdeesh@gmail.com,UK
Sofia,9384562745,sofia@gmail.com,USA
Miraclin,91834625783,miraclin@gmail.com,USA
Celina vinni,9836592654,celina@gmail.com,Canada
Swetha,9028472834,swetha@gmail.com,USA
Susmitha,9104030567,susmitha@gmail.com,Australia
Amarnath,7284937473,amarnath@gmail.com,USA
Premnath,6587393089,premnath@gmail.com,UK
